day,date,time,beg_time,end_time,location,id,session,type,url,sponsor,has_fee,beg_time_round,end_time_round
Sun,7/28/2019,7:30 AM - 8:30 PM,7:30 AM,8:30 PM,CC-D Lobby,219018,JSM Main Registration,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219018,JSM,FALSE,7,21
Sun,7/28/2019,7:30 AM - 8:30 PM,7:30 AM,8:30 PM,CC-D Lobby,219046,JSM Help Desk/Press Desk,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219046,JSM,FALSE,7,21
Sun,7/28/2019,7:30 AM - 8:30 PM,7:30 AM,8:30 PM,CC-D Lobby,219080,Cyber Center,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219080,JSM,FALSE,7,21
Sun,7/28/2019,7:30 AM - 10:30 PM,7:30 AM,10:30 PM,CC-206,219190,Quiet Reflection Room,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219190,JSM,FALSE,7,23
Sun,7/28/2019,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,H-Mineral Hall F-G,218824,ACTStat 2019 Annual Meeting,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218824,Association of Clinical and Translational Statisticians (formerly GCRC),FALSE,8,12
Sun,7/28/2019,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,H-Centennial Ballroom G-H,218861,Diversity Workshop and Mentoring Program,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218861,Committee on Minorities in Statistics,FALSE,8,17
Sun,7/28/2019,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,H-Capitol Ballroom 3,218862,Diversity Workshop and Mentoring Breakouts,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218862,Committee on Minorities in Statistics,FALSE,8,17
Sun,7/28/2019,8:00 AM - 6:00 PM,8:00 AM,6:00 PM,CC-Hall C,219100,Exhibitor Lounge,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219100,JSM,FALSE,8,18
Sun,7/28/2019,8:00 AM - 11:00 AM,8:00 AM,11:00 AM,CC-Hall C,219113,Exhibitor Move-In,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219113,JSM,FALSE,8,11
Sun,7/28/2019,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,H-Quartz AB,219189,Council of Sections Governing Board Opening Meeting (Closed),Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219189,Council of Sections Governing Board,FALSE,8,12
Sun,7/28/2019,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,CC-406,,Statistical and Computational Methods for Microbiome and Metagenomics Data Analysis (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308033,"ASA, Biometrics Section",TRUE,8,12
Sun,7/28/2019,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,CC-304,,Essential Collaboration Skills (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308069,ASA,TRUE,8,12
Sun,7/28/2019,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,CC-304,,Essential Collaboration Skills (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308070,ASA,TRUE,8,12
Sun,7/28/2019,8:30 AM - 12:00 PM,8:30 AM,12:00 PM,H-Mineral Hall D-E,218974,CAR Workshop for Chairs,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218974,ASA,FALSE,8,12
Sun,7/28/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-401/402,,Welcome to the Tidyverse: Reproducible Data Science with R (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308027,ASA,TRUE,8,17
Sun,7/28/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-401/402,,Welcome to the Tidyverse: Reproducible Data Science with R (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308038,ASA,TRUE,8,17
Sun,7/28/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-403/404,,Practical Considerations for Bayesian and Frequentist Adaptive Clinical Trials (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308037,"ASA, Section on Bayesian Statistical Science",TRUE,8,17
